
============================================================
Input file: test_cases\P2\TC1.txt
ITEM	DECIMAL	BINARY	HEXADECIMAL
permission	1
persistent	1
phil	1
philip	1
philips	1
pink	1
pipe	2
pirates	1
pissing	1
pitch	1
pixel	1
placing	1
pmc	1
political	1
poll	1
poly	1
pos	1
possible	1
postal	1
pottery	2
prayers	1
press	1
prev	1
previously	1
prime	1
process	1
prove	1
proved	1
providence	1
providing	1
purchases	1
purpose	1
purse	1
pursuit	1
que	1
quest	1
rare	1
rating	1
realtors	1
recipients	1
recreational	1
reggae	1
register	1
rely	1
remaining	1
removal	1
reno	1
reply	1
reproduced	1
republic	1
republicans	1
residence	1
resort	1
responsibility	1
restoration	1
restructuring	1
reveals	2
ri	1
rpm	1
russian	1
salaries	1
scanners	1
schools	1
scripting	1
serum	1
sewing	1
shade	1
shannon	1
significance	1
simpsons	1
simultaneously	1
sitemap	1
skilled	1
sky	1
slot	1
soap	1
somalia	1
something	1
song	1
soon	1
sophisticated	1
sorry	1
soviet	1
sox	1
spain	1
species	1
specifies	1
spending	1
spoke	1
spoken	1
spreading	1
springs	1
src	1
ssl	1
stamp	1
stays	1
std	1
steel	1
strange	1
strengthen	1
strengthening	1
sub	1
subsequent	1
suggestion	2
supplement	1
susan	1
swap	1
tablet	1
tackle	1
talk	1
tea	1
tear	1
teenage	1
television	1
texture	1
thickness	1
thumb	2
till	1
tires	1
tomato	1
tp	1
tracked	1
train	1
transmit	1
tuesday	1
twelve	1
two	1
uc	1
undergraduate	1
underground	1
unless	1
unlikely	1
usa	1
used	1
uses	1
utils	1
vagina	1
validity	1
vibrators	1
victory	1
virginia	1
voice	1
vs	1
waiver	1
wal	1
walking	1
want	1
waste	1
wave	1
webshots	1
widely	1
williams	1
windsor	1
wma	1
women	1
wonder	1
wooden	1
works	1
wrote	1
ya	1
you	1
z	1
zdnet	1

Grand Total	500

Elapsed time: 0.406354 seconds

============================================================
Input file: test_cases\P3\TC4.txt
WORD	COUNT
adjustable	1
admin	1
adolescent	1
albuquerque	1
alternatives	1
amazon	1
analyst	1
annual	2
appreciate	1
approve	1
ar	1
arabia	1
architects	1
arthritis	1
asian	1
assessed	1
assigned	1
ata	1
ate	1
attention	1
audit	1
australian	1
az	1
baby	1
bacterial	1
banking	1
barrel	1
barrier	1
based	1
baskets	1
beach	1
beaches	1
beads	1
beans	1
beautiful	1
bedrooms	1
began	1
begin	1
beginner	1
belkin	1
below	1
ben	1
benchmark	2
bend	1
berlin	1
berry	1
beside	1
beverage	1
bible	1
biggest	1
bike	1
bingo	1
bio	1
biographies	1
biz	1
bizrate	1
bk	1
blade	1
blend	1
bloom	1
blues	1
bolt	1
bon	1
boobs	1
book	2
booking	1
books	1
booty	1
boundary	1
bowling	1
bra	1
brake	1
break	1
bridal	1
broadcast	1
brochure	1
brooklyn	1
browsers	1
bryan	1
bryant	1
bt	1
buck	1
building	1
bulletin	1
burn	1
burner	1
buses	1
cabinet	1
calculated	1
calgary	1
calibration	1
calling	1
calvin	1
camel	1
cameras	1
campaigns	1
canal	1
cancel	1
caps	1
car	1
cars	1
cartridges	1
casa	1
cashiers	1
castle	2
cb	1
cells	1
cet	1
challenges	1
champions	1
char	1
charger	1
charity	1
charts	2
chase	1
cheap	1
check	1
checklist	1
chelsea	1
chemicals	1
cholesterol	1
christ	1
christian	1
christina	1
christopher	1
chrome	1
church	1
circles	1
circuits	1
circular	1
classic	1
clearance	1
clients	2
closely	1
cloudy	1
cluster	1
coastal	2
collar	1
collections	1
colleges	1
colon	1
combination	1
commands	1
commerce	1
committees	1
companies	1
company	1
compounds	1
computational	1
computing	1
concentrate	1
conduct	1
confidential	2
connector	1
considerable	1
consideration	1
consist	2
consoles	1
consumption	1
contacts	1
contained	1
contains	2
continually	1
continues	1
continuously	1
contrary	1
contributing	1
controller	1
conversion	1
coordinate	1
coordinates	1
copying	1
core	1
cork	1
corp	1
corporate	1
corpus	1
coupled	1
couples	1
crazy	2
credits	1
critics	1
css	1
cst	1
cuisine	1
currency	1
curtis	1
cuts	1
cv	1
cycles	1
dallas	1
dam	1
danger	1
daniel	1
data	2
dating	1
daughter	1
dave	1
dawn	1
dd	1
ddr	2
deals	1
deborah	1
dec	1
decent	1
declaration	1
decorative	1
defendant	1
defense	1
deferred	1
define	1
delaware	1
deliver	1
demographic	1
dental	1
deny	1
depend	1
dependence	1
depends	1
designers	1
destroy	1
detection	1
detroit	2
dev	1
develops	1
diamond	1
diamonds	2
diffs	1
dildo	1
dinner	1
dip	1
direction	1
disciplinary	1
disclose	1
discover	1
discovered	1
discuss	1
diseases	2
dish	1
dishes	1
disposal	1
dispute	1
distinct	1
distributions	1
diversity	1
dividend	1
division	1
doctors	1
dos	1
downloadable	1
dramatically	2
draws	1
dresses	1
dried	1
drinks	1
drive	1
drivers	1
drunk	1
dsc	1
dts	1
duncan	1
durable	1
duties	1
dvds	1
ear	1
earn	1
earning	2
eating	1
edition	1
eds	1
ef	1
effective	1
effects	1
electrical	1
elsewhere	1
emergency	1
employee	1
enclosure	1
encryption	1
ending	1
energy	1
engaged	1
engineering	1
enhancement	1
entering	1
entertainment	1
epic	1
equilibrium	1
equipped	1
equivalent	1
erp	1
es	1
escort	1
espn	1
est	1
estimates	1
estonia	1
etc	1
ethics	1
everywhere	1
ex	1
exactly	1
existence	1
exists	1
expansion	1
expect	1
expired	1
explain	1
explosion	1
extent	1
far	1
farm	2
favorite	1
federal	1
feelings	1
fields	1
fifth	1
filed	1
finally	1
finds	1
flickr	1
flying	1
focus	1
focused	1
focusing	1
folder	1
folding	1
foods	1
foreign	1
forgot	1
forms	1
fort	1
fought	2
fragrances	1
france	1
fraud	1
freelance	1
frequently	1
fridge	1
fs	1
ft	1
ftp	1
fucking	2
ga	1
gamespot	1
gateway	1
gathered	1
gd	1
ge	1
gi	1
gibraltar	1
gifts	1
gl	1
glenn	1
gloves	1
glow	1
goat	1
governor	1
grad	1
grande	1
great	1
greece	1
grid	1
grown	1
gtk	1
guard	1
hamburg	1
hampton	2
handed	1
harbour	1
harold	1
harper	1
have	1
hawaii	1
hdtv	1
held	1
helen	1
hindu	1
hint	1
hispanic	1
hole	1
honors	1
hospitals	1
hosting	1
hosts	1
hourly	1
however	1
hu	1
humanities	1
humidity	2
hungarian	1
hurricane	1
hybrid	1
icons	1
ieee	1
ii	1
iii	1
ill	1
illness	1
im	1
imperial	1
import	1
impressed	1
improvement	1
incorporated	1
increases	1
incredible	1
indicating	1
inf	1
infections	1
informal	1
inn	1
innocent	1
inns	1
install	1
instances	1
insulin	1
interaction	1
invention	1
investments	1
invitations	1
io	1
ion	1
iron	1
isolation	1
items	1
itself	1
javascript	2
jeep	1
jeff	1
jeremy	1
jm	1
julian	1
just	1
kansas	1
kernel	1
killed	1
killing	1
kinds	1
klein	1
knives	1
korea	1
lab	1
labor	1
lake	1
lakes	1
languages	1
lately	1
latin	1
latvia	1
lawsuit	1
leadership	1
learned	1
leasing	1
leave	1
legacy	1
legislative	1
lenders	1
leu	1
levitra	1
liable	1
lil	1
limousines	1
lincoln	1
linear	1
linking	1
literacy	1
literally	2
little	1
locking	1
logging	1
longest	1
lookup	1
lots	1
lows	1
lucy	1
luke	1
ma	1
macintosh	1
macromedia	1
mad	1
mag	1
maiden	2
mailman	1
males	1
man	1
marble	1
maria	1
marker	1
married	1
mary	1
math	1
medicines	1
merchants	1
mercury	1
mesh	1
meta	1
metallic	2
metallica	1
mexican	1
mh	1
microsoft	1
midlands	1
milf	1
millennium	1
miss	1
mod	1
modification	2
monetary	1
mongolia	1
monroe	1
month	1
morgan	1
morocco	2
moss	1
motivated	1
mountain	1
mozambique	1
mt	1
much	1
murder	1
myspace	1
namely	1
nano	1
native	1
navy	2
nc	1
nearly	1
negotiations	1
networking	1
newsletter	1
newsletters	1
newspaper	1
nice	1
nightmare	1
nikon	1
noise	1
nokia	1
none	1
notification	1
np	1
nu	1
nvidia	2
nyc	1
nz	1
obituaries	1
observe	1
observed	1
occur	1
ocean	1
oecd	1
of	1
offensive	1
offer	1
often	1
oklahoma	1
oman	1
omega	1
once	1
onion	2
opened	1
openings	1
opera	1
operates	1
operation	1
opponents	1
or	1
organ	1
organised	1
ourselves	1
output	1
outreach	1
oval	1
oven	1
overnight	1
owen	1
own	1
pace	1
packet	1
panel	1
panels	2
paper	1
parameter	1
partial	1
partly	1
partnership	1
partnerships	1
pas	1
passwords	1
patent	1
patients	1
paxil	1
payable	1
pb	1
pdf	1
peaceful	1
penalties	1
penalty	1
performances	1
performs	1
periodically	1
pharmacy	1
photograph	1
photographic	1
phpbb	1
physical	2
physiology	1
picking	1
pictures	1
pilot	1
pin	1
pioneer	1
pipes	1
placing	1
plaintiff	1
plays	2
plenty	1
pm	1
pmc	1
pocket	1
pointing	1
poland	1
poor	2
popular	1
portugal	1
pose	1
postal	1
potential	1
powerful	1
practitioner	1
predict	1
preference	1
prefers	1
preparation	1
preparing	1
prerequisite	1
presentation	1
prev	1
previous	1
processes	1
procurement	1
producers	1
producing	1
productivity	1
programme	1
promises	1
promoting	1
prophet	1
proposals	1
prostate	1
proteins	1
protest	1
protocol	1
protocols	1
proud	1
prove	1
pubs	1
puppy	1
puts	1
qualifications	1
quarter	1
queen	1
queensland	1
question	1
racial	2
racks	1
ran	1
rapid	1
rates	1
reached	2
reactions	1
real	1
recall	1
received	1
recommend	1
recovered	1
reduced	1
regard	1
region	1
regional	1
registrar	1
regression	1
relief	1
reload	1
renaissance	2
renewal	1
repeated	1
replaced	1
replacing	1
reply	1
represented	1
represents	1
reproduction	1
reproductive	1
reserve	1
residential	1
resolved	1
respiratory	1
responsible	1
resumes	1
retailers	1
retrieved	1
reviewing	1
ribbon	1
ringtone	2
risk	1
robust	1
roger	1
rolled	1
roof	1
rr	1
ruby	1
rugs	1
runner	1
rush	1
safer	1
saint	1
saints	1
sake	1
salt	2
salvador	1
samoa	1
sandwich	1
sarah	1
satellite	1
scanned	1
scenarios	1
scheduling	1
sciences	1
scuba	1
sculpture	1
seal	1
seasonal	1
seat	1
sen	1
sending	1
seniors	1
settings	1
sexcam	1
sexy	1
sf	1
shark	1
shelter	1
shemale	1
shemales	1
shift	1
shipping	1
shirt	1
shoppercom	1
shore	1
showed	1
shown	2
shut	1
side	1
silly	1
similar	1
simple	1
simulations	1
since	2
sitting	1
sk	1
skills	1
slip	1
slowly	1
smooth	1
snake	1
so	1
solo	1
somebody	1
somehow	1
something	1
song	1
soonest	1
sought	1
source	1
southwest	1
sparc	2
spec	1
specifics	1
specified	1
speed	1
spending	1
spent	1
spice	1
spotlight	1
springs	1
sr	1
staff	1
stage	1
stan	1
starring	1
start	1
started	3
stations	1
stay	1
stayed	1
stays	1
stewart	1
stories	1
streets	1
stress	1
stretch	1
strict	1
strike	1
strips	1
students	1
studies	1
stuff	1
subject	1
subjects	1
subsidiaries	1
substances	1
successfully	1
sue	1
suggested	1
summer	1
supplier	2
supporting	1
sv	1
swap	1
switch	1
sword	1
syndicate	1
synthesis	1
tactics	1
tahoe	1
taking	1
talked	1
tall	1
tb	1
tea	1
teaching	1
tear	1
telecharger	1
telecom	1
tell	1
tenant	1
tender	1
tennessee	1
tested	1
texas	1
textile	1
the	1
theaters	1
theoretical	1
thirty	1
threatening	1
thriller	1
thunder	1
tiffany	2
tiger	1
timeline	1
tin	1
tire	1
tired	2
tits	1
today	1
toe	1
token	1
tokyo	1
toll	1
tones	1
tools	1
tower	1
tragedy	1
transform	1
translate	1
trap	1
travelling	1
treatment	1
tribe	1
trigger	1
trip	1
tue	1
turn	1
u	1
uh	1
ultram	1
understanding	1
unfortunately	1
unified	1
unlock	1
update	1
updating	1
upon	1
ur	1
uruguay	1
usb	1
usps	1
vacancies	1
var	1
variable	1
variance	1
variations	1
vault	1
vermont	1
vernon	1
verse	1
vhs	1
via	1
villages	1
vintage	1
virtual	1
virus	1
vital	1
vol	1
voyuer	1
vsnet	1
vulnerability	1
wagon	1
walked	1
walking	1
wallpaper	1
wang	1
war	1
warning	1
warranties	1
was	1
washington	1
watches	1
wav	1
weak	1
weapons	1
wearing	1
website	1
wedding	1
weekly	1
wild	1
win	1
winston	1
wishlist	1
with	1
words	1
work	1
worker	1
worry	1
would	1
wound	1
wv	1
y	1
yellow	1
yet	1
yourself	1
yu	1
yukon	1
z	1
za	2
zen	1
zimbabwe	2

Grand Total	1000

Elapsed time: 0.377618 seconds
